Model,R²,MSE
Random Forest,0.9613183945058782,0.16312613773440038
Gradient Boosting,0.9572670278233046,0.1802113592765747
KNN,0.950805403835392,0.20746099773329077
LSTM,0.9446468673737117,0.2334324705886003
SVR,0.9432513370126409,0.23931763163568207
CNN,0.9243821198231454,0.3188919534063152
Ridge,0.9164170603571014,0.35248180498882126
