Model,R²,MSE
Random Forest,0.5209074740169704,1.405873150696619
Gradient Boosting,0.5198316521149084,1.4090300964743405
LSTM,0.4875856772954599,1.5036543031945009
Simple Linear,0.4718286150335338,1.5498926174375445
SVR,0.4703777378309133,1.5541501443107442
KNN,0.45976448099070777,1.585294217791074
CNN,0.43033558755744805,1.671651839521114
